"ref","name","@lat","@lon"
,"加須",36.123012,139.5956739
"IK04","荏原中延",35.6099554,139.7119528
"IK01","五反田",35.6254884,139.7243224
,"昭島",35.7135703,139.3608938
"KD02","恩田",35.5456179,139.4923253
"KD03","こどもの国",35.5582144,139.486526
"TS20","新越谷",35.8752963,139.7897462
"TS06","鐘ヶ淵",35.7333722,139.8201376
"TS19","蒲生",35.867444,139.7914495
,"大袋",35.9238144,139.7780369
"TS15","谷塚",35.814262,139.8010408
"TS07","堀切",35.7431862,139.8177041
,"北越谷",35.9024378,139.7796607
"TS18","新田",35.8545928,139.7950671
"TS05","東向島",35.724279,139.8193204
,"東武動物公園",36.0247897,139.7267654
,"一ノ割",35.9642343,139.7660634
,"足利市",36.3293359,139.4482297
,"細谷",36.28338,139.349608
"TS16","草加",35.8281612,139.8032451
,"姫宮",36.004099,139.7388273
,"川俣",36.2082349,139.5264658
,"茂林寺前",36.2254654,139.5269673
"TS10","小菅",35.7588905,139.8129052
,"武里",35.9482419,139.7707901
"TS14","竹ノ塚",35.7944802,139.7906766
,"越谷",35.8883276,139.7857536
"TS08","牛田",35.7446769,139.8121178
,"県",36.290759,139.4720875
,"剛志",36.2954442,139.224006
,"福居",36.3057085,139.4584121
,"野州山辺",36.3263362,139.4320585
,"韮川",36.308306,139.402637
"TS17","獨協大学前〈草加松原〉",35.8431106,139.8006444
,"羽生",36.1703514,139.5340518
,"東武和泉",36.3153756,139.4551142
,"せんげん台",35.9357841,139.7744717
"TS11","五反野",35.7660148,139.8094901
,"和戸",36.0398694,139.7008233
,"多摩センター",35.6239755,139.422918
"KO42","京王堀之内",35.6244649,139.4003673
"KO43","南大沢",35.6141313,139.3799425
"KO44","多摩境",35.6019034,139.3670338
"KO38","稲城",35.6362217,139.5004525
"KO35","京王多摩川",35.6448816,139.5370827
"KO37","京王よみうりランド",35.6329527,139.5174012
"KO39","若葉台",35.6193563,139.4724477
"KO08","桜上水",35.6675015,139.6323285
"KO15","柴崎",35.6542039,139.5670015
"KO14","つつじヶ丘",35.6580925,139.5753341
"KO13","仙川",35.6623136,139.5850235
"KO16","国領",35.6502398,139.5586763
"KO17","布田",35.6498367,139.55167
"KO11","芦花公園",35.6706279,139.6088469
"KO07","下高井戸",35.6660693,139.6424439
"KO04","笹塚",35.6736274,139.6671061
"KO05","代田橋",35.6711552,139.6596041
,"程久保",35.6552783,139.4108443
"OT04","はるひ野",35.6187997,139.4646958
"OT02","栗平",35.6060241,139.480901
,"天王宿",36.4149069,139.3081543
,"丸山下",36.4168645,139.3214586
,"樋越",36.4155043,139.1734065
,"新屋",36.4137745,139.1965381
,"北原",36.41367,139.1845928
,"新里",36.4185454,139.2372223
,"江木",36.4072546,139.1335281
4,"赤坂",36.396964,139.117089
,"粕川",36.4168298,139.2107766
,"大胡",36.412676,139.15615
1,"城東",36.391196,139.0810977
6,"心臓血管センター",36.4052326,139.1288505
,"膳",36.4170507,139.221898
,"桐生球場前",36.4192275,139.2981079
"KO29","高幡不動",35.6620686,139.413569
"KO47","多摩動物公園",35.6494203,139.4052308
"KO46","府中競馬正門前",35.6685505,139.4849306
,"中之条",36.585404,138.852497
,"金島",36.529241,138.976878
,"郷原",36.548816,138.801774
,"矢倉",36.552654,138.784543
,"群馬原町",36.5718078,138.8243879
,"小野上温泉",36.556897,138.904724
,"祖母島",36.540713,138.957061
,"小野上",36.5524973,138.9222779
,"市城",36.570457,138.882592
